variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
plantation rum,Plantation Rum,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
pomlisse,Pom'Lisse,reviewed_eleclerc_private_label,4,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
ptit deli,P'tit Déli,reviewed_eleclerc_private_label,21,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
ptit deli leclerc,P'tit Déli,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
rebmann,Rebmann,reviewed_eleclerc_private_label,3,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
recoltons lavenir marque repere,Récoltons l'Avenir,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
repere equador,Equador,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
ritter sport,Ritter Sport,reviewed_retailer_candidate_false_positive,46,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
rustica,Rustica,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
science in sport,Science in Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
sirop sport,Sirop Sport,reviewed_retailer_candidate_false_positive,14,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
sis science in sport,Science in Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
soutenons nos agriculteurs,Soutenons nos Agriculteurs,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
sport bardinet,Sirop Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
sport marque repere,Sport,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
sport shake,Sport Shake,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
tables du monde,Tables du Monde,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
tablette dor,Tablette d'Or,reviewed_eleclerc_private_label,5,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
tablette dor marque repere,Tablette d'Or,reviewed_eleclerc_private_label,2,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
tablier blanc,Tablier Blanc,reviewed_eleclerc_private_label,4,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
terrasses dautan,Terrasses d'Autan,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
terrasses dautan cotes de bergerac,Terrasses d'Autan,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
tokapi,Tokapi,reviewed_eleclerc_private_label,5,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
tokapi marque repere,Tokapi,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
tradizioni ditalia,Tradizioni d'Italia,reviewed_eleclerc_private_label,15,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
trium,Trium,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
united sport drinks bv,United Sport Drinks BV,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
vege,Végé,reviewed_retailer_candidate_false_positive,2,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
vege chips,Vege Chips,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
vege marque repere,Végé,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
abbaye du mont saint eloi,Abbaye du Mont Saint-Éloi,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed Intermarché France decision; company_decision=not Intermarché; source=intermarche_private_label_review_20260830
adelie,Adélie,reviewed_intermarche_private_label,28,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
aix les bains,Aix les Bains,reviewed_intermarche_private_label,2,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
bouton dor,Bouton d'Or,reviewed_intermarche_private_label,152,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
chabrior,Chabrior,reviewed_intermarche_private_label,403,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
chateau sainte marguerite,Château Sainte Marguerite,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed Intermarché France decision; company_decision=not Intermarché; source=intermarche_private_label_review_20260830
cigalou,Cigalou,reviewed_intermarche_private_label,1,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
cotterley,Cotterley,reviewed_intermarche_private_label,57,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
elodie,Élodie,reviewed_intermarche_private_label,50,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
expert club,Expert Club,reviewed_intermarche_private_label,153,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
fiee des lois,Fiée des Lois,reviewed_intermarche_private_label,4,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
fiorini,Fiorini,reviewed_intermarche_private_label,2,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
itineraire de nos regions,Itinéraire de nos Régions,reviewed_intermarche_private_label,24,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
itineraire des saveurs,Itinéraire des Saveurs,reviewed_intermarche_private_label,149,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
ivoria,Ivoria,reviewed_intermarche_private_label,134,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
kingsbrau,Kingsbräu,reviewed_intermarche_private_label,8,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
la fournee campaniere,La Fournée Campanière,reviewed_intermarche_private_label,21,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
les creations,Les Créations,reviewed_intermarche_private_label,30,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
les creations ivoria,Les Créations,reviewed_intermarche_private_label,1,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
les eleveurs vous disent merci,Les Éleveurs vous disent Merci,reviewed_intermarche_private_label,5,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
monique ranou,Monique Ranou,reviewed_intermarche_private_label,15,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
odyssee,Odyssée,reviewed_intermarche_private_label,4,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
ondine,Ondine,reviewed_intermarche_private_label,17,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
paquito,Paquito,reviewed_intermarche_private_label,252,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
paturages,Pâturages,reviewed_intermarche_private_label,784,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
planteur des tropiques,Planteur des Tropiques,reviewed_intermarche_private_label,61,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
pommette,Pommette,reviewed_intermarche_private_label,23,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
producteur et commercants paturages,Pâturages,reviewed_intermarche_private_label,1,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
producteurs et commercants intermarche,Look,reviewed_intermarche_private_label,1,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
regain,Regain,reviewed_intermarche_private_label,32,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
top budget,Top Budget,reviewed_intermarche_private_label,139,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
aperitivos y extrusionados s a u,Aperitivos y Extrusionados S.A.U.,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed Groupe U France decision; company_decision=not Groupe U; source=groupe_u_private_label_review_20260831
cooperative u,U,reviewed_groupe_u_private_label,1,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
cooperative u enseigne,U,reviewed_groupe_u_private_label,1,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
danremont,Danremont,reviewed_groupe_u_private_label,20,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
dolci preziosi s l u,Dolci Preziosi,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed Groupe U France decision; company_decision=not Groupe U; source=groupe_u_private_label_review_20260831
dr schar espana s l u,Dr. Schär,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed Groupe U France decision; company_decision=not Groupe U; source=groupe_u_private_label_review_20260831
hyper u,U,reviewed_groupe_u_private_label,13,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
l n u f mdd,L.N.U.F.,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed Groupe U France decision; company_decision=not Groupe U; source=groupe_u_private_label_review_20260831
l n u f montayral,L.N.U.F.,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed Groupe U France decision; company_decision=not Groupe U; source=groupe_u_private_label_review_20260831
lait u,U,reviewed_groupe_u_private_label,1,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
les saveurs u,U Saveurs,reviewed_groupe_u_private_label,1,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
lorenzini,Lorenzini,reviewed_groupe_u_private_label,2,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
mac gallagan,Mac Gallagan,reviewed_groupe_u_private_label,0,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
magasin u,U,reviewed_groupe_u_private_label,4,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
magasins u,U,reviewed_groupe_u_private_label,3,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
nor u,U,reviewed_groupe_u_private_label,2,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
prix mini,Prix Mini,reviewed_groupe_u_private_label,101,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
saveurs u,U Saveurs,reviewed_groupe_u_private_label,1,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
selection u,U,reviewed_groupe_u_private_label,2,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
systeme u,U,reviewed_groupe_u_private_label,9,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
u bon and vegetarien,U Bon & Végétarien,reviewed_groupe_u_private_label,0,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
u man cola,U-Man Cola,reviewed_retailer_candidate_false_positive,2,,high,confirm,reviewed Groupe U France decision; company_decision=not Groupe U; source=groupe_u_private_label_review_20260831
u mat and lou,U Mat & Lou,reviewed_groupe_u_private_label,0,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
u oxygn,U Oxygn,reviewed_groupe_u_private_label,0,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
u tout petits,U Tout Petits,reviewed_groupe_u_private_label,0,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
